interval_s,flows_stddev
0,0.0
1,7.88
2,7.1
3,8.44
4,8.77
5,7.66
6,10.66
7,11.17
8,11.46
9,12.48
10,12.3
11,7.61
12,5.87
13,7.33
14,5.83
15,5.65
16,7.36
17,9.21
18,9.05
19,8.35
20,8.28
21,9.59
22,11.83
23,8.41
24,9.75
25,7.09
26,14.54
27,12.89
28,16.81
29,14.21
30,12.56
31,14.58
32,12.52
33,12.67
34,9.87
35,7.07
36,7.5
37,7.68
38,7.15
39,5.3
40,5.99
41,6.12
42,7.92
43,7.11
44,8.64
45,8.93
46,8.28
47,7.79
48,7.55
49,9.22
50,6.67
51,7.4
52,8.55
53,9.66
54,9.33
55,12.68
56,12.16
57,6.84
58,8.01
59,10.02
60,7.55
61,7.0
62,7.33
63,10.01
64,10.83
65,10.28
66,10.22
67,8.6
68,8.62
69,7.87
70,9.25
71,11.89
72,11.21
73,10.97
74,10.04
75,10.42
76,6.18
77,6.69
78,8.29
79,7.87
80,7.41
81,10.51
82,12.91
83,12.88
84,16.78
85,30.18
86,15.88
87,15.8
88,15.69
89,11.84
90,10.51
91,11.39
92,10.39
93,10.25
94,12.08
95,11.13
96,9.17
97,6.33
98,7.97
99,5.02
100,7.55
101,5.91
102,8.7
103,11.34
104,9.52
105,10.99
106,11.4
107,13.95
108,12.62
109,19.21
110,16.79
111,11.53
112,8.37
113,8.64
114,11.54
115,11.5
116,11.39
117,10.62
118,12.14
119,12.07
120,11.74
121,10.28
122,11.77
123,10.95
124,13.84
125,14.37
126,47.2
127,15.41
128,11.62
129,13.35
130,14.41
131,13.56
132,12.55
133,15.92
134,13.8
135,12.0
136,11.9
137,12.26
138,8.99
139,8.61
140,8.51
141,7.01
142,4.62
143,5.89
144,7.64
145,4.46
146,4.92
147,7.28
148,7.37
149,9.62
150,9.66
151,11.66
152,11.01
153,8.96
154,7.17
155,9.09
156,8.77
157,11.59
158,12.67
159,11.1
160,7.89
161,7.55
162,8.69
163,8.91
164,10.79
165,12.36
166,14.26
167,11.76
168,12.15
169,11.99
170,11.02
171,11.2
172,12.58
173,8.33
174,9.35
175,6.38
176,5.12
177,3.04
178,6.9
179,7.07
180,5.98
181,7.56
182,8.57
183,16.48
184,12.04
185,11.29
186,12.1
187,9.81
188,9.93
189,9.6
190,12.09
191,10.53
192,12.67
193,14.62
194,13.56
195,10.99
196,12.41
197,13.29
198,13.5
199,12.43
200,11.13
201,13.14
202,14.86
203,18.24
204,16.67
205,16.09
206,12.96
207,13.6
208,10.34
209,47.89
210,12.56
211,16.45
212,13.9
213,12.85
214,13.72
215,11.24
216,9.12
217,10.22
218,9.23
219,6.26
220,5.83
221,4.51
222,6.88
223,8.5
224,11.2
225,14.31
226,15.27
227,13.46
228,13.19
229,10.43
230,10.31
231,10.37
232,8.71
233,49.53
234,6.93
235,48.76
236,9.49
237,6.2
238,6.61
239,5.84
240,9.84
241,8.58
242,10.02
243,10.89
244,9.97
245,10.08
246,11.54
247,13.27
248,12.61
249,14.09
250,12.18
251,11.8
252,42.28
253,15.5
254,12.47
255,13.63
256,13.85
257,14.63
258,12.63
259,11.77
260,14.89
261,17.29
262,16.54
263,15.69
264,13.75
265,11.62
266,11.0
267,10.47
268,13.04
269,12.72
270,13.06
271,16.35
272,16.6
273,15.17
274,12.18
275,46.42
276,8.76
277,10.64
278,11.94
279,8.42
280,7.5
281,6.12
282,7.14
283,10.01
284,11.22
285,10.86
286,13.63
287,12.01
288,13.83
289,14.17
290,13.18
291,8.37
292,8.83
293,7.36
294,6.04
295,6.82
296,5.98
297,7.53
298,8.18
