interval_s,flows_stddev
0,0.0
1,8.59
2,6.89
3,6.73
4,9.66
5,11.15
6,11.84
7,11.81
8,11.84
9,11.57
10,10.93
11,8.71
12,7.52
13,9.14
14,8.4
15,8.71
16,9.1
17,10.04
18,7.78
19,7.52
20,8.48
21,6.18
22,6.86
23,6.31
24,6.61
25,7.82
26,11.27
27,11.05
28,16.32
29,16.15
30,11.88
31,10.13
32,9.99
33,10.09
34,6.54
35,5.27
36,5.19
37,6.02
38,7.5
39,7.82
40,7.81
41,7.45
42,9.41
43,6.1
44,5.79
45,7.6
46,6.73
47,4.4
48,4.5
49,6.34
50,7.41
51,5.24
52,6.66
53,9.14
54,6.65
55,8.25
56,7.83
57,6.98
58,7.38
59,7.93
60,7.18
61,5.21
62,8.37
63,9.74
64,9.59
65,10.14
66,9.8
67,8.84
68,7.97
69,7.34
70,9.68
71,10.37
72,10.05
73,10.65
74,9.76
75,10.27
76,29.08
77,7.62
78,8.14
79,7.79
80,7.63
81,7.0
82,7.03
83,9.73
84,13.26
85,11.57
86,8.91
87,8.4
88,8.65
89,8.51
90,8.57
91,10.02
92,7.44
93,7.46
94,11.18
95,9.41
96,9.26
97,8.91
98,7.03
99,3.04
100,31.39
101,5.9
102,5.42
103,7.03
104,7.33
105,7.16
106,8.28
107,9.03
108,10.78
109,14.25
110,12.93
111,10.73
112,10.63
113,11.74
114,12.49
115,14.08
116,56.22
117,9.74
118,8.2
119,7.64
120,7.53
121,8.43
122,7.34
123,8.45
124,9.04
125,11.95
126,12.34
127,11.31
128,11.35
129,13.76
130,13.84
131,13.7
132,12.75
133,14.23
134,10.99
135,9.57
136,9.47
137,10.67
138,7.84
139,6.51
140,34.29
141,5.74
142,6.15
143,5.46
144,5.36
145,4.58
146,7.03
147,8.79
148,9.36
149,10.03
150,8.85
151,10.26
152,10.19
153,10.27
154,8.8
155,8.6
156,5.41
157,8.56
158,7.18
159,8.43
160,8.72
161,9.41
162,9.73
163,9.76
164,10.52
165,9.0
166,11.34
167,11.98
168,11.97
169,13.1
170,10.23
171,10.6
172,10.92
173,8.97
174,9.32
175,6.73
176,6.86
177,6.76
178,7.12
179,5.55
180,6.18
181,6.48
182,6.58
183,6.31
184,6.04
185,5.53
186,9.91
187,8.01
188,8.87
189,8.22
190,9.42
191,11.4
192,11.58
193,11.52
194,47.59
195,9.49
196,9.89
197,10.54
198,12.18
199,9.41
200,9.57
201,9.89
202,13.5
203,16.24
204,13.77
205,28.87
206,9.47
207,10.23
208,9.95
209,11.64
210,11.83
211,15.28
212,11.68
213,9.19
214,10.64
215,10.73
216,10.7
217,12.5
218,11.3
219,7.78
220,6.93
221,5.12
222,36.28
223,4.68
224,4.82
225,7.19
226,9.35
227,7.22
228,5.11
229,6.04
230,8.01
231,6.64
232,6.56
233,7.98
234,8.37
235,9.49
236,10.87
237,5.96
238,6.24
239,5.56
240,5.59
241,6.58
242,9.2
243,11.4
244,10.97
245,10.28
246,10.05
247,9.48
248,9.22
249,10.31
250,8.99
251,9.7
252,10.52
253,13.15
254,12.94
255,12.53
256,12.25
257,11.95
258,11.09
259,9.12
260,8.94
261,12.04
262,10.39
263,12.78
264,12.55
265,12.04
266,12.33
267,11.15
268,11.25
269,42.32
270,12.34
271,11.3
272,11.12
273,10.95
274,10.06
275,9.64
276,8.17
277,8.17
278,7.19
279,7.54
280,7.43
281,7.45
282,6.89
283,8.34
284,8.72
285,9.24
286,8.74
287,10.59
288,10.61
289,12.0
290,9.96
291,6.26
292,5.24
293,5.83
294,5.22
295,4.78
296,4.69
297,5.1
298,7.22
