interval_s,flows_stddev
0,0.0
1,8.45
2,5.73
3,9.08
4,17.14
5,23.67
6,28.54
7,30.44
8,30.66
9,33.83
10,37.07
11,35.14
12,31.81
13,28.41
14,26.42
15,24.89
16,25.26
17,29.0
18,30.96
19,34.58
20,38.79
21,44.4
22,49.71
23,50.09
24,50.66
25,55.52
26,58.16
27,46.77
28,43.91
29,37.81
30,33.93
31,29.94
32,29.95
33,29.81
34,28.02
35,26.98
36,29.48
37,31.02
38,29.71
39,29.25
40,29.27
41,26.02
42,18.68
43,15.24
44,25.3
45,30.07
46,36.95
47,38.09
48,38.07
49,46.83
50,48.94
51,49.93
52,54.05
53,53.98
54,55.78
55,52.05
56,52.3
57,57.4
58,49.87
59,51.35
60,48.76
61,49.72
62,46.19
63,43.07
64,43.11
65,42.05
66,34.41
67,27.21
68,30.89
69,36.72
70,41.13
71,38.81
72,39.14
73,43.56
74,45.66
75,48.36
76,44.94
77,46.76
78,43.96
79,42.95
80,42.89
81,43.03
82,38.6
83,33.13
84,25.13
85,25.38
86,28.72
87,29.36
88,29.52
89,34.46
90,44.79
91,49.29
92,53.69
93,50.85
94,47.2
95,44.15
96,43.78
97,44.21
98,38.7
99,39.59
100,42.31
101,45.63
102,45.27
103,44.54
104,44.77
105,48.86
106,45.77
107,44.59
108,41.59
109,39.88
110,41.22
111,40.8
112,40.48
113,40.14
114,33.64
115,28.47
116,31.23
117,37.5
118,45.55
119,47.01
120,47.03
121,51.66
122,53.27
123,58.23
124,57.45
125,56.13
126,56.2
127,52.22
128,52.45
129,56.94
130,57.89
131,52.48
132,49.51
133,47.43
134,40.36
135,34.37
136,34.44
137,32.26
138,28.12
139,34.84
140,36.43
141,41.88
142,47.88
143,48.38
144,48.57
145,54.17
146,53.73
147,48.49
148,46.99
149,44.57
150,37.87
151,30.45
152,30.57
153,31.23
154,26.93
155,27.02
156,69.95
157,33.47
158,36.06
159,37.06
160,36.95
161,42.97
162,39.96
163,37.91
164,39.89
165,41.09
166,42.15
167,39.79
168,40.28
169,45.08
170,45.28
171,46.87
172,43.3
173,45.31
174,42.26
175,38.53
176,38.46
177,37.39
178,42.57
179,28.48
180,33.18
181,36.61
182,39.43
183,40.92
184,41.27
185,42.6
186,38.54
187,40.25
188,41.26
189,44.42
190,47.39
191,46.82
192,46.81
193,48.25
194,47.58
195,45.55
196,41.56
197,39.44
198,37.55
199,35.5
200,35.56
201,37.81
202,35.82
203,35.87
204,36.37
205,39.56
206,40.38
207,37.73
208,37.91
209,40.31
210,39.68
211,44.31
212,46.93
213,49.91
214,50.4
215,48.71
216,49.18
217,55.99
218,58.7
219,62.37
220,60.45
221,54.26
222,48.92
223,44.94
224,44.96
225,48.16
226,44.76
227,45.55
228,46.87
229,45.59
230,44.79
231,40.43
232,40.79
233,45.19
234,37.57
235,34.71
236,36.51
237,41.98
238,39.0
239,37.1
240,37.28
241,37.99
242,33.16
243,31.06
244,31.36
245,39.04
246,44.59
247,45.43
248,45.74
249,52.15
250,52.4
251,49.4
252,48.25
253,43.86
254,38.21
255,31.27
256,31.16
257,31.53
258,30.2
259,32.15
260,35.42
261,38.66
262,41.26
263,40.65
264,40.47
265,44.05
266,46.2
267,45.71
268,45.68
269,43.97
270,42.84
271,38.12
272,37.74
273,41.87
274,42.07
275,44.04
276,44.9
277,46.04
278,45.35
279,43.0
280,43.03
281,48.48
282,49.74
283,52.25
284,45.67
285,40.97
286,34.75
287,31.44
288,31.13
289,33.66
290,30.02
291,30.21
292,34.5
293,37.62
294,40.6
295,38.83
296,38.69
297,43.5
298,48.91
