interval_s,workers_rx_stddev_kpps
0,316.46
1,352.49
2,343.44
3,343.66
4,342.61
5,357.28
6,348.99
7,348.98
8,245.44
9,241.49
10,236.38
11,235.92
12,221.67
13,215.88
14,212.2
15,212.18
16,271.51
17,263.05
18,257.76
19,264.63
20,239.56
21,240.16
22,233.59
23,233.56
24,256.11
25,262.81
26,269.78
27,268.68
28,266.86
29,258.73
30,249.63
31,249.62
32,328.93
33,331.11
34,347.94
35,347.78
36,339.57
37,358.8
38,365.81
39,365.79
40,235.42
41,234.55
42,228.62
43,219.94
44,205.73
45,222.05
46,232.58
47,232.56
48,241.16
49,247.74
50,249.67
51,251.66
52,237.52
53,242.67
54,244.54
55,244.53
56,316.03
57,330.93
58,342.46
59,349.78
60,346.3
61,352.34
62,354.11
63,354.06
64,331.23
65,325.91
66,323.73
67,329.44
68,341.81
69,341.7
70,356.94
71,356.89
72,205.04
73,202.2
74,208.81
75,216.61
76,217.29
77,214.82
78,219.39
79,219.39
80,225.91
81,238.43
82,246.7
83,254.01
84,262.06
85,252.86
86,248.17
87,248.14
88,257.36
89,248.87
90,245.32
91,250.96
92,235.57
93,251.62
94,239.57
95,239.57
96,329.38
97,330.11
98,344.06
99,334.3
100,341.39
101,344.42
102,346.63
103,346.03
104,257.54
105,241.03
106,246.86
107,248.12
108,251.01
109,264.19
110,255.88
111,255.86
112,334.57
113,327.64
114,340.44
115,337.27
116,318.31
117,329.57
118,335.38
119,335.35
120,230.77
121,221.34
122,217.25
123,210.67
124,221.21
125,200.99
126,204.0
127,203.97
128,246.53
129,251.06
130,240.59
131,223.5
132,223.96
133,222.27
134,223.58
135,223.57
136,333.1
137,328.02
138,334.62
139,344.16
140,344.49
141,350.86
142,355.25
143,355.25
144,231.56
145,245.84
146,241.93
147,254.12
148,248.17
149,250.06
150,254.32
151,254.31
152,230.35
153,223.2
154,226.05
155,233.32
156,221.05
157,236.86
158,230.16
159,230.15
160,260.92
161,264.16
162,261.47
163,246.9
164,240.12
165,233.99
166,234.94
167,234.93
168,239.83
169,247.42
170,235.32
171,236.84
172,239.47
173,238.43
174,241.11
175,241.1
176,245.89
177,241.97
178,236.95
179,241.32
180,253.61
181,250.78
182,252.5
183,252.5
184,219.28
185,212.68
186,227.46
187,235.96
188,227.04
189,228.9
190,237.92
191,237.91
192,261.2
193,265.61
194,255.38
195,242.77
196,241.02
197,239.2
198,224.72
199,224.71
200,349.17
201,341.26
202,351.36
203,355.89
204,349.21
205,331.75
206,331.79
207,331.77
208,318.41
209,326.06
210,320.83
211,323.95
212,325.34
213,323.16
214,328.67
215,328.65
216,236.14
217,245.24
218,238.68
219,226.9
220,223.25
221,226.01
222,225.17
223,225.14
224,344.44
225,351.26
226,357.73
227,347.99
228,344.55
229,351.16
230,353.28
231,353.25
232,229.78
233,224.91
234,229.12
235,234.03
236,228.42
237,244.87
238,247.5
239,247.48
240,237.92
241,262.4
242,278.44
243,274.17
244,268.31
245,261.26
246,267.96
247,267.94
248,213.69
249,217.81
250,206.8
251,210.48
252,213.56
253,220.14
254,221.76
255,221.76
256,205.45
257,220.82
258,229.84
259,250.78
260,272.97
261,267.21
262,280.44
263,280.43
264,212.06
265,232.85
266,246.96
267,254.88
268,256.13
269,258.18
270,266.33
271,266.32
272,221.06
273,211.0
274,219.09
275,227.16
276,233.11
277,230.97
278,236.85
279,236.83
280,229.37
281,222.77
282,221.0
283,238.54
284,246.83
285,250.31
286,256.87
287,256.84
288,343.02
289,352.56
290,344.59
291,347.62
292,349.49
293,354.23
294,350.96
295,350.93
296,335.74
297,327.7
298,320.46
