interval_s,workers_rx_stddev_kpps
0,33.81
1,33.91
2,29.31
3,41.95
4,64.99
5,79.1
6,85.53
7,85.9
8,92.83
9,86.23
10,91.1
11,108.08
12,145.95
13,163.86
14,190.03
15,206.03
16,190.3
17,181.67
18,156.06
19,153.1
20,140.77
21,144.23
22,163.34
23,182.97
24,175.74
25,185.83
26,185.98
27,208.54
28,207.38
29,178.79
30,165.19
31,169.79
32,171.61
33,181.4
34,190.28
35,209.0
36,211.54
37,210.86
38,213.5
39,195.05
40,169.89
41,159.06
42,156.43
43,165.61
44,178.92
45,193.31
46,196.42
47,186.88
48,172.53
49,165.38
50,157.54
51,149.58
52,168.13
53,183.31
54,183.97
55,180.14
56,173.57
57,180.07
58,177.65
59,178.08
60,174.19
61,180.59
62,161.07
63,157.73
64,156.88
65,148.46
66,149.21
67,155.78
68,159.01
69,177.27
70,179.16
71,176.47
72,178.07
73,162.19
74,166.31
75,164.25
76,156.86
77,161.12
78,168.77
79,161.98
80,182.38
81,178.04
82,199.42
83,195.95
84,188.84
85,178.2
86,178.14
87,149.09
88,138.31
89,144.68
90,172.23
91,178.22
92,177.39
93,163.81
94,188.29
95,196.94
96,192.14
97,170.11
98,173.63
99,169.04
100,173.57
101,161.37
102,184.54
103,203.14
104,239.85
105,252.5
106,239.46
107,208.15
108,157.88
109,146.32
110,122.55
111,132.52
112,167.68
113,200.53
114,210.54
115,201.22
116,199.96
117,190.66
118,151.67
119,109.53
120,105.49
121,123.25
122,146.63
123,169.97
124,196.98
125,208.93
126,209.04
127,215.57
128,217.75
129,216.15
130,214.63
131,215.22
132,211.5
133,197.4
134,197.12
135,190.55
136,199.38
137,180.04
138,180.8
139,182.02
140,168.39
141,158.52
142,160.43
143,167.5
144,175.06
145,165.39
146,155.33
147,145.23
148,135.45
149,164.24
150,176.36
151,182.88
152,179.95
153,171.8
154,153.83
155,117.01
156,87.99
157,100.69
158,139.24
159,152.67
160,171.33
161,187.37
162,179.14
163,158.3
164,151.06
165,126.84
166,119.88
167,120.64
168,123.2
169,158.06
170,179.73
171,205.33
172,216.11
173,190.91
174,181.04
175,182.21
176,166.04
177,138.61
178,123.08
179,147.91
180,176.38
181,180.02
182,193.62
183,189.83
184,193.5
185,172.93
186,135.65
187,107.5
188,113.72
189,149.6
190,162.1
191,174.54
192,179.83
193,174.07
194,147.39
195,129.85
196,107.29
197,108.18
198,110.3
199,130.95
200,140.76
201,149.44
202,155.93
203,138.72
204,123.8
205,108.87
206,105.04
207,90.57
208,115.15
209,134.8
210,148.64
211,141.01
212,137.58
213,143.96
214,154.83
215,148.58
216,151.6
217,152.92
218,152.18
219,153.73
220,137.69
221,126.59
222,147.33
223,162.86
224,170.0
225,176.15
226,175.55
227,179.82
228,178.45
229,185.19
230,181.63
231,178.17
232,181.67
233,166.55
234,169.57
235,165.99
236,161.46
237,162.17
238,174.64
239,155.67
240,151.75
241,136.83
242,144.53
243,149.19
244,162.28
245,174.17
246,186.62
247,162.84
248,165.52
249,184.27
250,189.0
251,192.33
252,195.69
253,197.31
254,171.22
255,148.77
256,145.94
257,157.34
258,159.48
259,185.41
260,193.84
261,204.41
262,200.22
263,189.49
264,179.78
265,174.05
266,146.21
267,145.69
268,146.75
269,160.83
270,174.78
271,189.12
272,200.77
273,213.63
274,203.29
275,174.55
276,136.92
277,127.55
278,125.45
279,131.1
280,150.09
281,168.4
282,186.27
283,200.81
284,182.47
285,174.88
286,169.13
287,144.9
288,130.99
289,120.12
290,129.65
291,140.23
292,159.63
293,167.72
294,178.44
295,162.84
296,134.35
297,123.36
298,118.58
