interval_s,workers_rx_stddev_kpps
0,316.46
1,349.03
2,324.22
3,307.78
4,285.07
5,266.56
6,252.66
7,252.63
8,326.82
9,336.44
10,321.72
11,300.99
12,275.5
13,240.61
14,222.19
15,222.16
16,336.5
17,336.64
18,345.67
19,345.26
20,329.88
21,328.95
22,330.25
23,330.24
24,552.04
25,554.43
26,537.13
27,513.49
28,474.17
29,437.68
30,403.96
31,403.93
32,276.88
33,298.64
34,322.7
35,336.51
36,335.14
37,331.4
38,335.01
39,334.99
40,278.19
41,231.64
42,208.92
43,193.33
44,183.41
45,188.3
46,197.43
47,197.4
48,290.29
49,305.8
50,326.39
51,335.9
52,329.4
53,331.74
54,320.47
55,320.47
56,487.41
57,481.3
58,501.43
59,498.8
60,508.3
61,505.83
62,488.94
63,488.92
64,323.93
65,282.39
66,262.76
67,241.66
68,242.6
69,252.63
70,251.44
71,251.44
72,386.96
73,398.2
74,413.47
75,403.14
76,389.18
77,384.25
78,373.3
79,373.28
80,292.15
81,276.1
82,281.39
83,255.95
84,235.34
85,222.43
86,215.08
87,215.07
88,322.99
89,346.98
90,364.23
91,359.43
92,346.22
93,307.94
94,286.27
95,286.25
96,154.54
97,181.14
98,224.89
99,251.12
100,284.13
101,294.96
102,296.5
103,296.49
104,384.34
105,402.34
106,387.57
107,383.74
108,369.14
109,365.42
110,367.78
111,367.76
112,301.87
113,304.65
114,301.06
115,305.86
116,277.72
117,256.38
118,261.38
119,261.36
120,414.34
121,417.73
122,416.97
123,417.79
124,399.61
125,374.19
126,357.52
127,357.5
128,416.77
129,420.64
130,398.64
131,368.25
132,347.95
133,317.57
134,291.81
135,291.81
136,388.29
137,366.86
138,371.88
139,376.2
140,372.81
141,370.52
142,357.85
143,357.29
144,388.43
145,393.99
146,389.77
147,378.7
148,371.62
149,345.68
150,318.15
151,318.15
152,305.11
153,286.95
154,287.55
155,290.25
156,289.27
157,280.94
158,276.23
159,276.22
160,260.0
161,274.93
162,278.5
163,282.67
164,289.68
165,281.63
166,261.61
167,261.59
168,490.82
169,497.91
170,509.48
171,506.6
172,492.19
173,479.8
174,462.57
175,462.54
176,276.29
177,263.45
178,256.63
179,266.19
180,276.38
181,275.28
182,273.02
183,273.0
184,580.01
185,585.03
186,580.05
187,569.12
188,565.34
189,547.88
190,537.32
191,537.29
192,321.69
193,317.0
194,309.11
195,284.99
196,270.32
197,237.72
198,226.51
199,226.85
200,307.03
201,312.16
202,325.34
203,319.59
204,316.71
205,302.19
206,299.21
207,299.2
208,422.35
209,433.4
210,440.01
211,430.81
212,416.83
213,404.11
214,398.56
215,398.56
216,522.72
217,540.11
218,540.4
219,530.5
220,506.59
221,473.62
222,455.78
223,455.75
224,325.75
225,323.51
226,347.61
227,341.09
228,347.66
229,334.49
230,322.64
231,322.63
232,400.53
233,396.79
234,381.16
235,362.79
236,367.97
237,363.96
238,347.32
239,347.33
240,419.28
241,383.79
242,329.47
243,290.56
244,252.67
245,236.81
246,230.05
247,230.05
248,476.56
249,474.28
250,461.54
251,461.67
252,445.69
253,405.64
254,371.51
255,371.48
256,346.45
257,364.93
258,374.37
259,366.94
260,357.25
261,340.75
262,342.29
263,342.26
264,342.29
265,344.04
266,344.37
267,331.19
268,314.69
269,276.23
270,261.42
271,261.38
272,284.8
273,305.29
274,314.95
275,314.78
276,287.21
277,257.5
278,238.04
279,238.02
280,321.13
281,343.13
282,357.58
283,358.59
284,339.06
285,302.33
286,279.08
287,279.07
288,302.05
289,315.68
290,335.34
291,332.65
292,328.22
293,319.86
294,304.29
295,304.27
296,351.22
297,359.37
298,372.95
